"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2019-12-27 20:51:18 +01:00"

Year,"Country / territory of asylum/residence",Origin,"Population type",Value
1997,Ukraine,Afghanistan,"Refugees (incl. refugee-like situations)",3030
1997,"United States of America",Afghanistan,"Refugees (incl. refugee-like situations)",2651
1997,Uzbekistan,Afghanistan,"Refugees (incl. refugee-like situations)",3075
1998,Afghanistan,Afghanistan,"Internally displaced persons",315800
1998,Australia,Afghanistan,"Refugees (incl. refugee-like situations)",2428
1998,Austria,Afghanistan,"Refugees (incl. refugee-like situations)",322
1998,Azerbaijan,Afghanistan,"Refugees (incl. refugee-like situations)",3
1998,Belgium,Afghanistan,"Refugees (incl. refugee-like situations)",182
1998,Bangladesh,Afghanistan,"Refugees (incl. refugee-like situations)",1
1998,Bulgaria,Afghanistan,"Refugees (incl. refugee-like situations)",94
1998,Belarus,Afghanistan,"Refugees (incl. refugee-like situations)",59
1998,Canada,Afghanistan,"Refugees (incl. refugee-like situations)",6754
1998,Switzerland,Afghanistan,"Refugees (incl. refugee-like situations)",551
1998,China,Afghanistan,"Refugees (incl. refugee-like situations)",1
1998,Cuba,Afghanistan,"Refugees (incl. refugee-like situations)",6
1998,Cyprus,Afghanistan,"Refugees (incl. refugee-like situations)",1
1998,"Czech Rep.",Afghanistan,"Refugees (incl. refugee-like situations)",166
1998,Denmark,Afghanistan,"Refugees (incl. refugee-like situations)",1537
1998,Ecuador,Afghanistan,"Refugees (incl. refugee-like situations)",16
1998,Egypt,Afghanistan,"Refugees (incl. refugee-like situations)",56
1998,Spain,Afghanistan,"Refugees (incl. refugee-like situations)",87
1998,Finland,Afghanistan,"Refugees (incl. refugee-like situations)",52
1998,France,Afghanistan,"Refugees (incl. refugee-like situations)",1158
1998,"United Kingdom",Afghanistan,"Refugees (incl. refugee-like situations)",3450
1998,Georgia,Afghanistan,"Refugees (incl. refugee-like situations)",1
1998,Greece,Afghanistan,"Refugees (incl. refugee-like situations)",33
1998,"China, Hong Kong SAR",Afghanistan,"Refugees (incl. refugee-like situations)",4
1998,Indonesia,Afghanistan,"Refugees (incl. refugee-like situations)",3
1998,India,Afghanistan,"Refugees (incl. refugee-like situations)",16058
1998,"Iran (Islamic Rep. of)",Afghanistan,"Refugees (incl. refugee-like situations)",1400722
1998,Italy,Afghanistan,"Refugees (incl. refugee-like situations)",43
1998,Jordan,Afghanistan,"Refugees (incl. refugee-like situations)",3
1998,Japan,Afghanistan,"Refugees (incl. refugee-like situations)",2
